ROI,Ranges
sample 87,"[[33, 48], [127, 141], [150, 157], [184, 191], [234, 254]]"
sample 86,"[[36, 50], [130, 143], [152, 159], [185, 193], [236, 255]]"
sample 85,"[[38, 52], [131, 143], [154, 161], [186, 194], [237, 255]]"
sample 84,"[[39, 54], [132, 146], [155, 162], [187, 195], [238, 256]]"
sample 83,"[[39, 53], [133, 146], [156, 164], [189, 197], [237, 257]]"
sample 82,"[[39, 53], [133, 147], [156, 163], [189, 196], [237, 257]]"
sample 80,"[[40, 54], [133, 148], [156, 163], [189, 196], [236, 256]]"
sample 79,"[[40, 54],  [134, 148], [157, 163], [189, 197], [237, 255]]"
sample 78,"[[39, 53],  [134, 147], [156, 163], [189, 197], [237, 256]]"
sample 77,"[[37, 51], [133, 146], [155, 162], [188, 197], [238, 257]]"
sample 76,"[[34, 49], [131, 145], [154, 161], [188, 196], [238, 256]]"
sample 75,"[[31, 46], [130, 144], [153, 159], [186, 194], [238, 256]]"
