ROI,Ranges
sample 148,"[[34, 52], [125, 138], [149, 156], [184, 191], [238, 252]]"
sample 147,"[[35, 53], [125, 140], [149, 156], [184, 192], [239, 252]]"
sample 146,"[[35, 54], [126, 140], [150, 157], [185, 192], [240, 253]]"
sample 145,"[[33, 53], [127, 141], [150, 157], [186, 193], [239, 254]]"
sample 144,"[[30, 54], [126, 141], [151, 158], [186, 193], [239, 254]]"
sample 143,"[[36, 56], [126, 142], [152, 159], [186, 193], [239, 255]]"
sample 142,"[[39, 58], [124, 143], [151, 157], [185, 193], [239, 255]]"
sample 141,"[[39, 57], [126, 143], [151, 156],  [185, 193], [238, 254]]"
sample 140,"[[39, 56], [126, 141], [150, 157],  [185, 192], [238, 253]]"
sample 139,"[[38, 56], [126, 142], [150, 156], [183, 191], [236, 253]]"
sample 138,"[[37, 54], [126, 142], [149, 155],  [181, 190], [235, 252]]"
sample 137,"[[35, 52], [126, 142], [149, 155], [182, 190], [235, 252]]"
