ROI,Ranges
sample 50,"[[26, 41], [127, 141], [149, 155], [181, 191], [235, 251]]"
sample 51,"[[28, 43], [129, 143], [151, 156], [183, 192], [237, 254]]"
sample 52,"[[30, 44], [130, 143], [151, 157], [184, 193], [238, 255]]"
sample 53,"[[32, 47], [130, 145], [153, 159], [186, 195], [239, 256]]"
sample 54,"[[33, 46], [132, 145], [154, 160], [186, 195], [241, 257]]"
sample 55,"[[33, 49], [130, 146], [153, 159], [185, 194], [238, 256]]"
sample 56,"[[32, 49], [129, 144], [152, 158], [184, 193], [238, 254]]"
sample 57,"[[34, 49], [130, 144], [152, 158], [184, 194], [240, 255]]"
sample 58,"[[34, 49], [130, 144], [153, 159], [186, 195], [239, 255]]"
sample 60,"[[33, 51], [129, 146], [152, 159], [186, 195], [237, 254]]"
sample 61,"[[33, 48], [130, 143], [152, 158], [184, 193], [239, 254]]"
sample 62,"[[30, 44], [129, 141], [150, 157], [183, 193], [238, 253]]"
