ROI,Ranges
sample 1,"[[19, 36], [126, 137], [165, 169], [183, 194], [251, 261]]"
sample 2,"[[16, 34], [122, 135], [147, 154], [182, 192],  [249, 259]]"
sample 3,"[[15, 32], [121, 133], [146, 153], [182, 191], [239, 258]]"
sample 4,"[[15, 32], [121, 133], [146, 154], [181, 191], [239, 258]]"
sample 5,"[[14, 31],[120, 132], [145, 152], [181, 190], [237, 256]]"
sample 6,"[[13, 30], [121, 133], [145, 153], [181, 190], [239, 257]]"
sample 7,"[[13, 30], [122, 132], [145, 153], [181, 191],[238, 257]]"
sample 8,"[[13, 30], [120, 131], [144, 154],  [179, 189], [234, 255]]"
sample 9,"[[14, 31], [120, 132], [145, 153], [181, 190],[238, 256]]"
sample 10,"[[14, 32], [121, 133], [146, 154], [182, 191], [240, 258]]"
sample 11,"[[15, 34],[121, 132], [146, 154], [182, 191], [240, 257]]"
sample 12,"[[16, 35], [122, 134], [147, 156], [183, 192], [241, 258]]"
sample 13,"[[17, 36], [123, 133], [147, 156], [184, 193], [241, 259]]"
