ROI,Ranges
sample 101,"[[33, 49], [130, 144], [152, 159], [185, 193], [236, 252]]"
sample 102,"[[37, 54], [132, 148], [155, 162], [186, 196], [237, 254]]"
sample 103,"[[39, 57], [134, 151], [157, 164], [188, 198], [239, 255]]"
sample 104,"[[41, 57], [136, 152], [159, 165], [189, 200], [241, 256]]"
sample 105,"[[41, 59], [136, 151], [159, 166], [190, 201], [241, 256]]"
sample 107,"[[42, 60], [136, 151], [159, 165], [190, 202], [240, 257]]"
sample 108,"[[42, 61], [135, 152], [159, 166], [190, 200], [241, 257]]"
sample 109,"[[44, 61], [136, 153], [160, 166], [192, 201], [241, 258]]"
sample 110,"[[42, 61], [135, 153], [160, 166], [192, 201], [241, 258]]"
sample 111,"[[39, 58], [135, 152], [159, 165], [190, 200], [240, 257]]"
sample 112,"[[36, 54],  [135, 149], [157, 163], [190, 197],  [224, 256]]"
