ROI,Ranges
sample 149,"[[39, 58], [130, 143], [152, 159], [185, 193], [238, 253]]"
sample 150,"[[43, 61], [132, 144], [154, 161], [186, 195], [239, 254]]"
sample 151,"[[45, 62], [133, 146], [155, 162], [188, 196], [240, 255]]"
sample 152,"[[45, 62], [133, 146], [156, 163], [188, 197], [241, 255]]"
sample 153,"[[43, 61], [133, 146], [155, 162], [189, 196], [241, 255]]"
sample 154,"[[42, 60], [132, 145], [155, 162], [188, 196], [240, 255]]"
sample 155,"[[42, 58], [133, 146], [155, 162], [188, 196], [240, 255]]"
sample 156,"[[41, 57], [132, 145], [154, 162], [187, 196], [241, 255]]"
sample 157,"[[40, 58], [132, 146], [154, 161], [187, 195], [240, 255]]"
sample 158,"[[39, 56], [132, 146], [154, 160], [186, 194], [240, 255]]"
sample 159,"[[37, 54], [131, 145], [153, 159], [186, 194], [239, 254]]"
sample 160,"[[34, 51], [130, 143], [152, 159], [185, 193], [239, 254]]"
