ROI,Ranges
sample 126,"[[15, 32], [124, 138], [147, 154], [181, 189], [234, 249]]"
sample 127,"[[18, 34], [124, 138], [147, 154], [180, 190], [235, 250]]"
sample 128,"[[19, 35], [125, 138], [148, 154], [181, 190], [235, 250]]"
sample 129,"[[20, 36], [125, 139], [148, 155], [182, 191], [235, 250]]"
sample 130,"[[21, 37], [126, 139], [148, 156], [182, 191], [236, 251]]"
sample 131,"[[22, 39], [126, 139], [148, 155], [182, 190], [237, 251]]"
sample 132,"[[23, 39], [126, 139], [148, 155], [182, 191], [235, 250]]"
sample 133,"[[23, 39], [126, 138], [148, 156], [180, 190], [234, 249]]"
sample 134,"[[23, 41], [126, 138], [148, 154], [180, 189], [236, 249]]"
sample 135,"[[23, 41], [126, 139], [148, 155], [181, 190], [237, 249]]"
sample 136,"[[23, 39], [127, 139], [149, 157], [181, 191], [238, 246]]"
