ROI,Ranges
sample 113,"[[17, 36], [125, 140], [149, 156], [183, 192], [237, 253]]"
sample 115,"[[19, 38], [126, 142], [150, 156], [184, 192], [238, 253]]"
sample 116,"[[21, 40], [128, 143], [151, 158], [185, 193], [239, 254]]"
sample 117,"[[24, 42], [129, 145], [152, 159], [186, 195], [241, 256]]"
sample 118,"[[24, 43], [129, 144], [152, 159], [185, 194], [238, 254]]"
sample 119,"[[24, 44], [129, 144], [153, 159], [185, 194], [236, 254]]"
sample 120,"[[25, 43], [130, 145], [153, 160], [187, 195], [237, 254]]"
sample 121,"[[26, 43], [130, 145], [153, 160], [186, 194], [237, 254]]"
sample 122,"[[24, 42], [129, 144], [152, 159], [185, 193], [236, 253]]"
sample 123,"[[22, 41], [128, 143], [151, 158], [184, 192], [235, 252]]"
sample 124,"[[21, 38], [127, 142], [150, 157], [183, 191], [232, 251]]"
sample 125,"[[19, 37], [126, 141], [149, 156],  [183, 189], [232, 250]]"
