ROI,Ranges
sample 22,"[[30, 45], [130, 143], [151, 158], [185, 193], [238, 252]]"
sample 23,"[[34, 49], [133, 144], [153, 160], [187, 195], [240, 253]]"
sample 24,"[[37, 53], [132, 149], [155, 161], [186, 195], [237, 254]]"
sample 25,"[[37, 52], [134, 148], [155, 162], [187, 197], [239, 254]]"
sample 26,"[[38, 52], [134, 148], [155, 161], [187, 195], [238, 254]]"
sample 27,"[[40, 56],  [136, 148], [156, 162], [189, 197], [242, 255]]"
sample 28,"[[41, 56],  [136, 149], [157, 163], [190, 197], [243, 256]]"
sample 29,"[[40, 57], [136, 150], [157, 163], [189, 198], [244, 256]]"
sample 30,"[[40, 56], [136, 148], [156, 163], [189, 196], [243, 256]]"
sample 31,"[[39, 54], [134, 148], [155, 161], [188, 196], [242, 254]]"
sample 32,"[[36, 52], [132, 145], [153, 160], [186, 194], [241, 254]]"
sample 33,"[[33, 50], [132, 144], [152, 159], [185, 194], [240, 252]]"
