ROI,Ranges
sample 63,"[[34, 48], [128, 141], [151, 158], [182, 191], [236, 253]]"
sample 64,"[[36, 52], [128, 141], [151, 158], [183, 191], [237, 253]]"
sample 65,"[[35, 51], [129, 143], [152, 159], [184, 192], [236, 253]]"
sample 66,"[[35, 50], [129, 142], [152, 160], [185, 192], [237, 253]]"
sample 67,"[[35, 50], [129, 143], [152, 159], [185, 193], [236, 254]]"
sample 68,"[[35, 50], [129, 143], [152, 160], [185, 193], [237, 255]]"
sample 69,"[[34, 49], [130, 144], [152, 159], [185, 193], [236, 255]]"
sample 70,"[[34, 48], [130, 144], [153, 159], [186, 194], [236, 256]]"
sample 71,"[[33, 47], [130, 144], [152, 159], [185, 194], [237, 256]]"
sample 72,"[[32, 46], [130, 144], [152, 158], [184, 193], [237, 255]]"
sample 73,"[[31, 44], [130, 144], [151, 157], [184, 193], [234, 254]]"
sample 74,"[[27, 41], [127, 142], [150, 156], [184, 192], [235, 255]]"
