ROI,Ranges
sample 14,"[[26, 44], [126, 140], [150, 158], [184, 192], [237, 255]]"
sample 15,"[[26, 44], [125, 138], [149, 157], [181, 191], [236, 254]]"
sample 16,"[[26, 45], [125, 138], [149, 156], [182, 190], [234, 255]]"
sample 17,"[[27, 44], [125, 139], [149, 157], [183, 191], [237, 255]]"
sample 18,"[[26, 44], [126, 140], [149, 157], [183, 191], [238, 256]]"
sample 19,"[[26, 43], [125, 137], [148, 157], [181, 190], [237, 245]]"
sample 20,"[[26, 44], [125, 137], [148, 156], [182, 191], [238, 254]]"
sample 21,"[[26, 44], [124, 136], [148, 156], [181, 189], [235, 254]]"
sample 22,"[[26, 43], [125, 137], [147, 156], [181, 189], [236, 255]]"
sample 23,"[[25, 42], [125, 137], [147, 157], [181, 190], [238, 246]]"
sample 24,"[[24, 43], [121, 133], [145, 156], [177, 188], [231, 252]]"
sample 25,"[[25, 42], [123, 136], [146, 156], [181, 189], [236, 254]]"
sample 26,"[[25, 41], [124, 136], [147, 156], [181, 190], [236, 255]]"
