ROI,Ranges
sample 34,"[[29, 45], [128, 142], [151, 158],  [184, 192], [237, 253]]"
sample 35,"[[30, 46], [128, 143], [151, 158],  [185, 193], [236, 252]]"
sample 36,"[[32, 49], [130, 145], [152, 159], [185, 193], [237, 253]]"
sample 37,"[[32, 47], [130, 145], [153, 160], [186, 194], [238, 254]]"
sample 38,"[[32, 46], [130, 144], [152, 159], [187, 194], [238, 254]]"
sample 40,"[[32, 47], [129, 145], [152, 159], [185, 193], [236, 254]]"
sample 42,"[[32, 47], [130, 145], [153, 160], [187, 194], [238, 255]]"
sample 44,"[[32, 48], [131, 145], [153, 160], [187, 194], [238, 255]]"
sample 45,"[[32, 47], [131, 145], [153, 160], [186, 194], [238, 255]]"
sample 46,"[[32, 47], [130, 143], [153, 160], [185, 194], [239, 254]]"
sample 48,"[[31, 46], [129, 143], [152, 159], [185, 193], [238, 253]]"
sample 49,"[[28, 43], [128, 143], [150, 157], [185, 192], [239, 254]]"
