ROI,Ranges
sample 173,"[[28, 44], [125, 140], [148, 155], [182, 190], [235, 255]]"
sample 174,"[[31, 48], [126, 141], [149, 156], [184, 192], [237, 257]]"
sample 175,"[[33, 49], [127, 141], [150, 157], [184, 192], [237, 256]]"
sample 176,"[[34, 50], [127, 142], [150, 157], [184, 192], [237, 256]]"
sample 177,"[[34, 49], [128, 142], [150, 157], [184, 192], [236, 257]]"
sample 178,"[[34, 49], [129, 142], [150, 157], [185, 193], [237, 257]]"
sample 179,"[[34, 49], [128, 143], [150, 157], [184, 194], [236, 257]]"
sample 180,"[[35, 50], [129, 143], [151, 157], [185, 193], [237, 257]]"
sample 181,"[[35, 51], [129, 143], [151, 157], [184, 192], [236, 256]]"
sample 182,"[[34, 50], [129, 143], [150, 157], [183, 192], [235, 255]]"
sample 183,"[[33, 48], [129, 142], [150, 156], [183, 191], [233, 255]]"
sample 184,"[[33, 47], [128, 142], [149, 156], [182, 191], [233, 254]]"
