ROI,Ranges
sample 10,"[[34, 50], [128, 140], [149, 156], [182, 190],[235, 252]]"
sample 11,"[[36, 52], [128, 140], [150, 156], [182, 191], [236, 252]]"
sample 12,"[[38, 54], [129, 142], [151, 157], [183, 191], [236, 252]]"
sample 13,"[[38, 54], [130, 143], [152, 158], [183, 192],  [238, 254]]"
sample 14,"[[38, 53], [130, 143], [152, 159], [184, 193], [239, 255]]"
sample 15,"[[38, 55], [128, 143], [152, 158], [183, 191],  [238, 255]]"
sample 16,"[[37, 54], [130, 144], [153, 158],  [185, 193], [238, 255]]"
sample 17,"[[37, 52], [131, 144], [153, 159], [186, 194],  [239, 256]]"
sample 18,"[[36, 50], [133, 144], [153, 160], [188, 195], [240, 258]]"
sample 19,"[[36, 49], [132, 145], [153, 159], [185, 194], [240, 257]]"
sample 20,"[[35, 49], [131, 145], [152, 158], [186, 194], [239, 258]]"
sample 21,"[[32, 47],  [129, 143], [150, 157], [184, 192], [237, 256]]"
