ROI,Ranges
sample 161,"[[27, 43], [126, 140], [148, 155], [183, 191], [233, 254]]"
sample 162,"[[30, 46], [128, 143], [151, 157], [185, 193], [236, 257]]"
sample 163,"[[32, 48], [129, 144], [152, 159], [186, 194], [238, 259]]"
sample 164,"[[34, 49], [131, 145], [153, 160], [187, 195], [241, 260]]"
sample 165,"[[34, 50], [132, 146], [154, 161], [189, 196], [241, 261]]"
sample 166,"[[35, 51], [133, 147], [154, 161], [187, 195], [241, 261]]"
sample 167,"[[35, 51], [132, 146], [154, 161], [188, 196], [240, 261]]"
sample 168,"[[35, 49], [131, 146], [154, 161], [188, 196], [240, 261]]"
sample 169,"[[33, 48], [131, 145], [153, 160], [187, 196], [238, 260]]"
sample 170,"[[32, 47], [130, 144], [152, 159], [187, 195], [237, 259]]"
sample 171,"[[29, 45], [128, 143], [150, 157], [184, 192], [234, 258]]"
sample 172,"[[27, 42], [127, 141], [148, 155], [180, 190], [233, 256]]"
